epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,478.377,0.64052,0.4889,0.82572,0.7023,0.68322,0.72251,0.51601,0.81534,0.72194,0.8324,0.000660045,0.000660045,0.000660045
43,490.909,0.62096,0.48796,0.81082,0.70189,0.68954,0.70827,0.50827,0.82061,0.72171,0.83875,0.000649046,0.000649046,0.000649046
44,503.511,0.6212,0.48206,0.81471,0.69888,0.68425,0.71127,0.49841,0.82416,0.73698,0.83648,0.000638047,0.000638047,0.000638047
45,516.095,0.65429,0.48357,0.80882,0.71443,0.66764,0.71396,0.5085,0.80255,0.71693,0.83168,0.000627048,0.000627048,0.000627048
46,528.678,0.64123,0.47771,0.81715,0.71797,0.64926,0.70589,0.4944,0.81059,0.71458,0.83023,0.000616049,0.000616049,0.000616049
47,541.393,0.60027,0.46052,0.82387,0.70766,0.65588,0.70884,0.50813,0.79253,0.68404,0.82763,0.000605051,0.000605051,0.000605051
48,554.097,0.61535,0.45791,0.81699,0.69059,0.69729,0.71998,0.50788,0.85437,0.7001,0.8376,0.000594052,0.000594052,0.000594052
49,566.769,0.61681,0.45344,0.82283,0.70004,0.65257,0.70983,0.49818,0.85388,0.71107,0.83292,0.000583053,0.000583053,0.000583053
50,579.499,0.57096,0.44094,0.80773,0.68054,0.67329,0.71389,0.50298,0.81551,0.74228,0.82558,0.000572054,0.000572054,0.000572054
51,592.318,0.58594,0.42926,0.81014,0.68724,0.68578,0.71356,0.51127,0.79314,0.66864,0.82965,0.000561055,0.000561055,0.000561055
52,605.217,0.58921,0.43754,0.80773,0.70002,0.6565,0.71815,0.51314,0.80997,0.69763,0.83403,0.000550056,0.000550056,0.000550056
53,620.77,0.59253,0.43648,0.81538,0.68892,0.67864,0.7163,0.51365,0.81976,0.6713,0.83555,0.000539057,0.000539057,0.000539057
54,632.937,0.59635,0.43803,0.80817,0.67922,0.69942,0.72082,0.51047,0.82494,0.71885,0.83377,0.000528058,0.000528058,0.000528058
55,645.009,0.59663,0.42727,0.80943,0.7026,0.69428,0.71904,0.51835,0.82452,0.69237,0.8334,0.000517059,0.000517059,0.000517059
56,657.115,0.58912,0.42664,0.81224,0.69649,0.6644,0.70846,0.49992,0.84093,0.71581,0.84017,0.00050606,0.00050606,0.00050606
57,711.596,0.5664,0.42261,0.80971,0.7047,0.69293,0.71746,0.5008,0.84719,0.71023,0.84082,0.000495062,0.000495062,0.000495062
58,722.336,0.57007,0.42161,0.80893,0.72023,0.68016,0.71558,0.49774,0.8495,0.68814,0.83432,0.000484063,0.000484063,0.000484063
59,733.126,0.58431,0.42809,0.8082,0.72943,0.67449,0.725,0.50404,0.85269,0.71493,0.83491,0.000473064,0.000473064,0.000473064
60,743.863,0.53396,0.40085,0.80951,0.70371,0.68697,0.72319,0.52183,0.81907,0.66836,0.83319,0.000462065,0.000462065,0.000462065
61,773.677,0.57571,0.41076,0.81035,0.72491,0.6669,0.71477,0.51447,0.78873,0.67691,0.83009,0.000451066,0.000451066,0.000451066
62,784.49,0.54412,0.39852,0.81228,0.68949,0.68701,0.72019,0.51892,0.79081,0.65244,0.83041,0.000440067,0.000440067,0.000440067
63,795.244,0.528,0.39025,0.79347,0.73102,0.65218,0.72296,0.52005,0.79905,0.67581,0.83097,0.000429068,0.000429068,0.000429068
64,805.979,0.55856,0.39922,0.795,0.69782,0.68344,0.71804,0.51334,0.79527,0.66858,0.83796,0.000418069,0.000418069,0.000418069
65,824.282,0.55481,0.40505,0.80803,0.70028,0.69447,0.72385,0.50897,0.79992,0.67647,0.83911,0.00040707,0.00040707,0.00040707
66,835.041,0.52852,0.39394,0.80477,0.72839,0.6802,0.72013,0.50277,0.84735,0.68878,0.84097,0.000396071,0.000396071,0.000396071
67,845.831,0.53884,0.38734,0.8026,0.71223,0.69482,0.72687,0.51385,0.83461,0.70301,0.83857,0.000385073,0.000385073,0.000385073
68,856.624,0.52665,0.38486,0.78991,0.72586,0.68398,0.72393,0.51492,0.83802,0.66636,0.83358,0.000374074,0.000374074,0.000374074
69,868.361,0.53612,0.38634,0.80659,0.72582,0.67371,0.72641,0.51919,0.8271,0.68862,0.83296,0.000363075,0.000363075,0.000363075
70,879.435,0.51724,0.37973,0.80506,0.71504,0.69174,0.72622,0.52232,0.82088,0.66911,0.82961,0.000352076,0.000352076,0.000352076
71,890.656,0.52545,0.37799,0.80257,0.70818,0.66637,0.71326,0.52176,0.77414,0.65759,0.83109,0.000341077,0.000341077,0.000341077
72,902.403,0.53243,0.38542,0.8,0.71093,0.68228,0.7175,0.52339,0.7739,0.64301,0.8318,0.000330078,0.000330078,0.000330078
73,916.357,0.52927,0.38294,0.79998,0.70239,0.67265,0.71294,0.52607,0.7681,0.64703,0.82679,0.000319079,0.000319079,0.000319079
74,928.768,0.49954,0.36795,0.79322,0.71356,0.68293,0.7276,0.51166,0.82403,0.66834,0.83212,0.00030808,0.00030808,0.00030808
75,941.349,0.52701,0.38642,0.80455,0.71273,0.66017,0.71081,0.52281,0.7851,0.65635,0.82913,0.000297081,0.000297081,0.000297081
76,954.063,0.48561,0.3598,0.80121,0.72178,0.67366,0.71618,0.51877,0.79751,0.65134,0.82996,0.000286083,0.000286083,0.000286083
77,1005.22,0.51097,0.3696,0.79885,0.72578,0.68008,0.72664,0.52261,0.79306,0.6507,0.82823,0.000275084,0.000275084,0.000275084
78,1017.75,0.50649,0.37058,0.79681,0.73087,0.67672,0.72746,0.51251,0.83809,0.66875,0.83679,0.000264085,0.000264085,0.000264085
79,1028.45,0.48643,0.36237,0.79804,0.72915,0.6848,0.72534,0.51589,0.82041,0.65729,0.83639,0.000253086,0.000253086,0.000253086
80,1039.23,0.52933,0.37545,0.7909,0.71569,0.66356,0.71125,0.51025,0.77994,0.65163,0.83328,0.000242087,0.000242087,0.000242087
81,1074.89,0.50527,0.36833,0.79882,0.64889,0.16428,0.15479,0.11475,0.77921,0.64618,0.83056,0.000231088,0.000231088,0.000231088
82,1088.14,0.50771,0.36176,0.80221,0.70606,0.69141,0.71817,0.51709,0.80664,0.66572,0.8316,0.000220089,0.000220089,0.000220089
83,1098.91,0.48777,0.35832,0.80002,0.70833,0.69053,0.72155,0.51832,0.79609,0.65389,0.83466,0.00020909,0.00020909,0.00020909
84,1109.68,0.49866,0.35189,0.79961,0.71451,0.66587,0.71533,0.51949,0.78317,0.65439,0.83467,0.000198091,0.000198091,0.000198091
85,1120.46,0.49391,0.3532,0.789,0.73003,0.67471,0.73185,0.51177,0.81369,0.66202,0.83345,0.000187092,0.000187092,0.000187092
86,1317.91,0.47938,0.35088,0.80148,0.72807,0.6822,0.72538,0.51765,0.78894,0.64154,0.82966,0.000176094,0.000176094,0.000176094
87,1328.81,0.47166,0.34575,0.79392,0.72718,0.67237,0.72301,0.52048,0.78585,0.64112,0.83044,0.000165095,0.000165095,0.000165095
88,1339.59,0.45074,0.33475,0.78795,0.72695,0.67785,0.73468,0.52577,0.77424,0.65507,0.82632,0.000154096,0.000154096,0.000154096
89,1351.67,0.48324,0.35063,0.78887,0.72604,0.67606,0.72615,0.52413,0.78886,0.64273,0.82985,0.000143097,0.000143097,0.000143097
90,1362.39,0.47234,0.33809,0.79745,0.72663,0.68355,0.73723,0.52314,0.80559,0.65046,0.83332,0.000132098,0.000132098,0.000132098
91,1372.86,0.46419,0.35409,0.79084,0.72304,0.68072,0.71861,0.51569,0.78909,0.6449,0.83058,0.000121099,0.000121099,0.000121099
92,1383.24,0.43255,0.34101,0.77659,0.72067,0.68566,0.72492,0.51902,0.80529,0.64749,0.83313,0.0001101,0.0001101,0.0001101
93,1393.65,0.44337,0.34052,0.7704,0.71737,0.67862,0.72074,0.51866,0.79993,0.65714,0.8332,9.91012e-05,9.91012e-05,9.91012e-05
