epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8392,1.07969,1.91587,0.89442,0.89812,0.70483,0.82759,0.58571,0.84958,1.35817,0.83488,0.00036761,0.00036761,0.00036761
2,23.7155,0.88873,0.81321,0.85573,0.89837,0.77817,0.86121,0.62104,0.71253,0.74468,0.81808,0.000730638,0.000730638,0.000730638
3,34.8057,0.84241,0.71076,0.84959,0.92225,0.78644,0.86909,0.64156,0.72943,0.64482,0.83715,0.00108633,0.00108633,0.00108633
4,45.6965,0.81528,0.63955,0.84394,0.87571,0.81117,0.87302,0.6527,0.71391,0.61223,0.83201,0.001078,0.001078,0.001078
5,56.9754,0.79251,0.59079,0.84447,0.89853,0.8152,0.8824,0.66324,0.69335,0.57506,0.82359,0.001067,0.001067,0.001067
6,67.9623,0.77488,0.54868,0.83961,0.90092,0.81384,0.88871,0.66928,0.68225,0.57812,0.8276,0.00105601,0.00105601,0.00105601
7,84.8087,0.75846,0.53086,0.83619,0.90545,0.7783,0.87927,0.66027,0.69518,0.54817,0.83261,0.00104501,0.00104501,0.00104501
8,102.66,0.75659,0.51188,0.83378,0.90188,0.78267,0.88008,0.66077,0.69592,0.52015,0.82673,0.00103401,0.00103401,0.00103401
9,118.956,0.72702,0.48557,0.83032,0.90088,0.81567,0.8883,0.67411,0.68378,0.5033,0.82499,0.00102301,0.00102301,0.00102301
10,143.274,0.71847,0.47208,0.82799,0.91465,0.82035,0.89869,0.68009,0.65223,0.45623,0.81828,0.00101201,0.00101201,0.00101201
11,163.89,0.70557,0.45557,0.82791,0.90718,0.82055,0.88865,0.68112,0.66275,0.46533,0.82182,0.00100101,0.00100101,0.00100101
12,177.594,0.70312,0.44866,0.82426,0.87614,0.79898,0.87676,0.6707,0.63836,0.51126,0.81965,0.000990012,0.000990012,0.000990012
13,196.326,0.68825,0.43688,0.82393,0.90957,0.80375,0.89199,0.68401,0.63046,0.46892,0.81715,0.000979013,0.000979013,0.000979013
14,215.037,0.68975,0.42774,0.8231,0.90039,0.82204,0.89499,0.67137,0.69637,0.4682,0.82226,0.000968014,0.000968014,0.000968014
15,234.093,0.68087,0.42492,0.82054,0.90804,0.83011,0.89665,0.68249,0.64694,0.46457,0.8177,0.000957015,0.000957015,0.000957015
16,253.128,0.6731,0.42435,0.81857,0.92277,0.82015,0.90009,0.68458,0.64554,0.47349,0.81832,0.000946016,0.000946016,0.000946016
17,271.837,0.67931,0.41506,0.81849,0.90666,0.83001,0.8895,0.69155,0.6078,0.43442,0.81239,0.000935018,0.000935018,0.000935018
18,292.288,0.66976,0.4136,0.81795,0.90959,0.82766,0.88851,0.69087,0.62341,0.43931,0.81366,0.000924019,0.000924019,0.000924019
19,315.029,0.65496,0.40784,0.81777,0.90701,0.82398,0.89844,0.68616,0.69122,0.60423,0.84857,0.00091302,0.00091302,0.00091302
20,337.263,0.66696,0.40577,0.81365,0.90473,0.82363,0.89021,0.68282,0.65559,0.47158,0.81565,0.000902021,0.000902021,0.000902021
21,360.113,0.6492,0.39555,0.81734,0.91014,0.83486,0.89879,0.69467,0.60464,0.41973,0.81054,0.000891022,0.000891022,0.000891022
22,380.459,0.65063,0.397,0.81567,0.91957,0.79491,0.88355,0.67656,0.62798,0.44302,0.82024,0.000880023,0.000880023,0.000880023
23,398.047,0.65088,0.3949,0.81603,0.88904,0.82346,0.88723,0.67963,0.64753,0.45191,0.82313,0.000869024,0.000869024,0.000869024
