epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1114,1.14104,2.19785,0.90001,0.98412,0.25103,0.60877,0.45506,0.94939,2.31055,0.87203,0.000366667,0.000366667,0.000366667
2,18.0029,0.90533,0.87891,0.85521,0.89529,0.63521,0.70469,0.51403,0.86131,0.92492,0.88328,0.000729704,0.000729704,0.000729704
3,25.5394,0.85932,0.76936,0.84588,0.71189,0.63033,0.71779,0.5396,0.78486,0.78291,0.8688,0.00108541,0.00108541,0.00108541
4,33.229,0.82803,0.69242,0.84562,0.91028,0.65133,0.7297,0.54209,0.78649,0.72494,0.85461,0.001078,0.001078,0.001078
5,40.8784,0.79537,0.63326,0.83974,0.92113,0.63672,0.72503,0.53623,0.82039,0.7571,0.88036,0.001067,0.001067,0.001067
6,48.6523,0.79041,0.58618,0.8341,0.80176,0.68065,0.74521,0.55591,0.81206,0.66223,0.8513,0.00105601,0.00105601,0.00105601
7,56.2941,0.74779,0.55631,0.83334,0.75294,0.65334,0.73304,0.55689,0.7301,0.68051,0.85703,0.00104501,0.00104501,0.00104501
8,64.2038,0.73657,0.53306,0.82836,0.69517,0.72527,0.74752,0.58212,0.70767,0.60488,0.85221,0.00103401,0.00103401,0.00103401
9,72.2183,0.72724,0.51315,0.82466,0.68606,0.74714,0.75149,0.57503,0.71263,0.64936,0.85237,0.00102301,0.00102301,0.00102301
10,80.0706,0.73773,0.50582,0.82873,0.90221,0.64993,0.74588,0.57658,0.71207,0.64397,0.83803,0.00101201,0.00101201,0.00101201
11,87.9458,0.71374,0.48524,0.82573,0.74369,0.66208,0.74608,0.58194,0.66983,0.58482,0.83795,0.00100101,0.00100101,0.00100101
12,95.7991,0.7204,0.48529,0.82834,0.88977,0.66058,0.74743,0.58057,0.68281,0.58638,0.83715,0.000990012,0.000990012,0.000990012
13,103.723,0.71464,0.47442,0.82216,0.7171,0.71983,0.75909,0.5879,0.68019,0.55924,0.8376,0.000979013,0.000979013,0.000979013
14,111.662,0.7031,0.46306,0.82188,0.76776,0.69048,0.76586,0.60199,0.65067,0.51999,0.83052,0.000968014,0.000968014,0.000968014
15,119.608,0.68485,0.44986,0.81814,0.74038,0.68577,0.7489,0.5816,0.66839,0.53746,0.83716,0.000957015,0.000957015,0.000957015
16,127.625,0.69005,0.44801,0.81929,0.72401,0.66893,0.73532,0.57392,0.66178,0.58914,0.83759,0.000946016,0.000946016,0.000946016
17,135.732,0.67528,0.44603,0.81902,0.75782,0.68031,0.74755,0.58713,0.6405,0.52941,0.83801,0.000935018,0.000935018,0.000935018
18,143.695,0.66855,0.4318,0.81942,0.75574,0.67166,0.73946,0.57692,0.69848,0.55541,0.84924,0.000924019,0.000924019,0.000924019
19,151.64,0.6684,0.42562,0.8113,0.77176,0.67579,0.75697,0.5975,0.66875,0.52183,0.84682,0.00091302,0.00091302,0.00091302
20,159.609,0.64831,0.41416,0.8136,0.73619,0.68131,0.75712,0.59425,0.65794,0.48594,0.83429,0.000902021,0.000902021,0.000902021
21,167.769,0.66623,0.41402,0.81329,0.74466,0.69097,0.74336,0.58618,0.6479,0.50637,0.82853,0.000891022,0.000891022,0.000891022
22,175.747,0.65299,0.40753,0.81445,0.88686,0.67419,0.73814,0.58058,0.64235,0.52566,0.82618,0.000880023,0.000880023,0.000880023
23,183.683,0.65606,0.40335,0.81007,0.70476,0.64092,0.72046,0.55046,0.73392,0.60677,0.86023,0.000869024,0.000869024,0.000869024
24,191.7,0.64005,0.39606,0.81013,0.75172,0.64995,0.75489,0.60098,0.63868,0.55471,0.82634,0.000858025,0.000858025,0.000858025
25,199.579,0.63979,0.39593,0.81245,0.81992,0.67493,0.76555,0.60023,0.65163,0.50226,0.82643,0.000847026,0.000847026,0.000847026
26,207.454,0.64326,0.39615,0.80961,0.69819,0.74027,0.7424,0.58604,0.64552,0.52886,0.82857,0.000836027,0.000836027,0.000836027
27,215.345,0.64643,0.40836,0.81287,0.73605,0.68388,0.73588,0.57269,0.69032,0.51073,0.84685,0.000825029,0.000825029,0.000825029
28,223.359,0.63106,0.3927,0.80734,0.72134,0.69134,0.73239,0.57372,0.6944,0.56089,0.84179,0.00081403,0.00081403,0.00081403
29,231.453,0.64331,0.39576,0.80746,0.78328,0.66524,0.73496,0.5768,0.69705,0.54003,0.8561,0.000803031,0.000803031,0.000803031
30,239.549,0.62449,0.38226,0.80616,0.71612,0.68527,0.74864,0.57878,0.69387,0.54367,0.85264,0.000792032,0.000792032,0.000792032
31,247.843,0.62435,0.38172,0.80795,0.74067,0.67504,0.73285,0.58302,0.6317,0.50817,0.83536,0.000781033,0.000781033,0.000781033
32,256.32,0.61722,0.37801,0.80632,0.73564,0.70274,0.74464,0.59587,0.61853,0.51596,0.83196,0.000770034,0.000770034,0.000770034
33,264.523,0.6116,0.37335,0.80396,0.75333,0.68444,0.74842,0.58928,0.64666,0.50159,0.83048,0.000759035,0.000759035,0.000759035
34,272.684,0.60869,0.37056,0.80443,0.73373,0.68645,0.74391,0.58404,0.70052,0.52284,0.86799,0.000748036,0.000748036,0.000748036
